population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std
CD16+/CD11b+,pSTAT1,IFNa2,33.398895263671875,237.2247165574856,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,48.551113714577816
CD4+/CD8+,pSTAT5,IFNb,24.783254623413086,79.9635739189763,CD4+/CD8+,T Cells,Sm149Di,Human,median,CD4+/CD8+,T Cells,Sm149Di,Human,median,20.907012598677465
B Cells,pSTAT6,IL-4,46.76102161407471,124.81889244312404,B Cells,CD45+ CD66-,Ho165Di,Human,median,B Cells,CD45+ CD66-,Ho165Di,Human,median,22.095882370745613
CD16+/CD11b+,pErk1/2,Anthrax,30.221357345581055,514.1384428016314,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,56.138794133218525
CD4+/CD8+,pSTAT5,IL-2,44.77203321456909,94.34226272686679,CD4+/CD8+,T Cells,Sm149Di,Human,median,CD4+/CD8+,T Cells,Sm149Di,Human,median,25.10329970151041
CD16+/CD11b-,pTBK1,LPS,149.08479356765747,16317.818716952592,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,160.50700394631338
CD16+/CD11b+,pSTAT6,IL-4,75.75405192375183,485.93609091174204,CD16+/CD11b+,HLA-DR+/CD7-,Ho165Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Ho165Di,Human,median,40.491638108786795
CD7+/HLA-DR-,pSTAT5,IL-2,30.303935050964355,53.107121330389255,CD7+/HLA-DR-,CD19- CD3-,Sm149Di,Human,median,CD7+/HLA-DR-,CD19- CD3-,Sm149Di,Human,median,15.850862363172888
CD16+/CD11b-,pSTAT6,IL-4,53.807483077049255,323.8270642397945,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,31.301835519835436
CD11b+/CD16-,pSTAT5,IFNb,29.89177894592285,102.80484269308661,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,23.70939603374167
Basophils,pSTAT5,GM-CSF,61.11713123321533,191.0058499368926,Basophils,Singlets,Sm149Di,Human,median,Basophils,Singlets,Sm149Di,Human,median,30.594381664138012
CD11b+/CD16-,pTBK1,R848,145.16857957839966,5077.859826537643,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,102.35166605030282
CD8+T cells,pSTAT5,IL-2,44.857078552246094,76.00018244919676,CD8+T cells,T Cells,Sm149Di,Human,median,CD8+T cells,T Cells,Sm149Di,Human,median,20.982426204924227
Basophils,pErk1/2,GM-CSF,29.05131435394287,73.89474178145338,Basophils,Singlets,Sm152Di,Human,median,Basophils,Singlets,Sm152Di,Human,median,26.04687953774683
CD11b+/CD16-,pSTAT1,IFNa2,25.043782234191895,142.96996476695614,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,38.775729360658254
Neutrophils,pSTAT5,GM-CSF,48.80085062980652,149.60808774048283,Neutrophils,Non-Basophils,Sm149Di,Human,median,Neutrophils,Non-Basophils,Sm149Di,Human,median,22.997603553196388
pDCs,pSTAT1,IFNa2,20.37678623199463,133.64223742182546,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,24.53316934582908
CD4+T cells,pSTAT6,IL-4,36.42390275001526,82.64675538022638,CD4+T cells,T Cells,Ho165Di,Human,median,CD4+T cells,T Cells,Ho165Di,Human,median,16.678436260963075
pDCs,pErk1/2,GM-CSF,24.01466941833496,227.37496571136117,pDCs,HLA-DR+ CD11c-,Sm152Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm152Di,Human,median,37.36556761692988
CD11b+/CD16-,pSTAT1,IFNg,24.027488708496094,174.55218732156493,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,38.87552090513067
