population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std
CD16+/CD11b+,pP38,R848,22.10618305206299,173.33840533480588,CD16+/CD11b+,HLA-DR+/CD7-,Sm154Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm154Di,Human,median,22.959139010102362
CD11b-/CD16-,pSTAT1,IFNb,28.915973663330078,254.93228879302345,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,28.500677671766333
CD16+/CD11b+,pErk1/2,GM-CSF,54.176612854003906,524.4027799099005,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,56.21907573115358
CD11b+/CD16-,pP38,LPS,15.364470481872559,141.3483932353164,CD11b+/CD16-,HLA-DR+/CD7-,Sm154Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm154Di,Human,median,21.886423394996566
CD16+/CD11b+,pErk1/2,PMAIono,25.834327697753906,362.993167313406,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,55.98781444241643
CD1c+ B cells,pErk1/2,PMAIono,18.580819129943848,1122.8725706656055,CD1c+ B cells,B Cells,Sm152Di,Human,median,CD1c+ B cells,B Cells,Sm152Di,Human,median,44.381729339627014
CD4+/CD8+,pSTAT1,IFNa2,17.17906951904297,165.3380274117687,CD4+/CD8+,T Cells,Sm147Di,Human,median,CD4+/CD8+,T Cells,Sm147Di,Human,median,26.106043760939166
CD11b-/CD16-,pSTAT5,IFNb,28.929550170898438,187.38482910279012,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,22.98629634499688
Neutrophils,pErk1/2,Anthrax,14.554237365722656,399.1502541768089,Neutrophils,Non-Basophils,Sm152Di,Human,median,Neutrophils,Non-Basophils,Sm152Di,Human,median,46.43317118959636
CD8+T cells,pSTAT6,IL-4,26.599539697170258,98.04310250752799,CD8+T cells,T Cells,Ho165Di,Human,median,CD8+T cells,T Cells,Ho165Di,Human,median,13.771572642287985
CD8+T cells,pSTAT5,IL-2,51.75927543640137,152.67845598306425,CD8+T cells,T Cells,Sm149Di,Human,median,CD8+T cells,T Cells,Sm149Di,Human,median,20.982426204924227
CD11b-/CD16-,pP38,TNFa,15.666762351989746,109.2934749370827,CD11b-/CD16-,HLA-DR+/CD7-,Sm154Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm154Di,Human,median,18.856566533889342
CD16+/CD11b+,pSTAT5,GM-CSF,88.34702205657959,384.9879149660753,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,38.91434101400051
pDCs,pErk1/2,GM-CSF,24.559167861938477,355.2561782777078,pDCs,HLA-DR+ CD11c-,Sm152Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm152Di,Human,median,37.36556761692988
CD16+/CD11b-,pTBK1,TNFa,29.044517517089844,341.70380356117937,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,23.096326597135405
