population,reagent,Condition,median,variance
CD16+/CD11b-,p4E-BP1,IL-4,19.87676429748535,55.710365978602056
CD4+T cells,pP38,GM-CSF,14.121861457824707,51.106819196937025
CD8+T cells,pZap70/Syk,Anthrax,4.529445171356201,1.7125480673514797
Neutrophils,pSTAT5,IL-12,15.393273830413818,129.53534346759346
CD1c+ B cells,pTBK1,IL-4,16.541593551635742,NaN
CD8+T cells,pTBK1,CD40L,6.570027232170105,27.340363847080088
Neutrophils,pSTAT6,Basal,3.863114893436432,14.803248503080598
B Cells,p4E-BP1,TNFa,25.39427375793457,25.393458390638493
Basophils,pSTAT3,TNFa,50.79373836517334,4014.4633903886315
pDCs,pSTAT6,GM-CSF,11.88614797592163,NaN
CD7+/HLA-DR-,pS6,Basal,40.53011989593506,525.2259969224533
CD11b+/CD16-,pP38,IFNb,18.25913143157959,133.92870357463647
Basophils,pP38,R848,10.921104431152344,32.25084809604639
CD16+/CD11b+,pSTAT6,Basal,8.243966102600098,59.52404127626812
CD11b+/CD16-,pZap70/Syk,TNFa,5.761192798614502,8.667379869204234
CD11b-/CD16-,pSTAT6,GM-CSF,9.381107330322266,43.10627838494381
Neutrophils,IkBa,IL-2,2.5223076343536377,1.3667224705054868
CD16+/CD11b-,p4E-BP1,LPS,17.505441665649414,50.54264287964033
Basophils,pS6,GM-CSF,52.19323539733887,565.5740141776236
CD1c+ B cells,p4E-BP1,GM-CSF,33.55576753616333,NaN
Neutrophils,pSTAT4,R848,8.070163488388062,24.167697262603607
CD16+/CD11b-,pCREB,PMAIono,51.133009910583496,700.5855841895981
CD7+/HLA-DR-,pTBK1,Ebola VLPs,7.564163684844971,34.54442533749349
CD11b+/CD16-,p4E-BP1,GM-CSF,32.66170597076416,138.51510492092103
CD11b-/CD16-,pZap70/Syk,GM-CSF,5.174671649932861,6.505847723137813
pDCs,pCREB,IFNg,26.33101749420166,182.05980290154912
Basophils,IkBa,IL-12,5.80890953540802,6.732910130491893
CD4+T cells,pZap70/Syk,IL-12,4.774637579917908,2.197538223145493
B Cells,IkBa,Ebola VLPs,4.995699524879456,9.357073602408242
Basophils,pTBK1,Basal,11.400337934494019,77.25983019789666
CD1c+ B cells,pCREB,GM-CSF,24.3734073638916,NaN
CD11b-/CD16-,pPLCg2,Anthrax,10.519344329833984,40.21194483037778
CD11b+/CD16-,pCREB,IFNg,52.149027824401855,664.1937382194587
CD11b-/CD16-,p4E-BP1,IL-2,45.61036205291748,250.76056548400425
pDCs,pPLCg2,IL-2,9.397291421890259,28.680927564667506
CD16+/CD11b-,pZap70/Syk,R848,8.047904968261719,12.959192443766481
CD4+/CD8+,pTBK1,Ebola VLPs,8.678391933441162,NaN
CD11b+/CD16-,pP38,IFNg,20.462896823883057,135.89325907702576
pDCs,pErk1/2,IL-6,34.07787227630615,563.8531966382461
B Cells,pErk1/2,R848,27.98087501525879,200.24107802753431
CD16+/CD11b+,pSTAT3,TNFa,122.74383163452148,9178.438673290042
B Cells,pZap70/Syk,TNFa,3.984949469566345,3.6259102658057367
CD4+/CD8+,pSTAT4,CD40L,7.8541765213012695,28.04746714628451
CD4+T cells,pSTAT4,IFNb,16.35856008529663,54.54117442202022
B Cells,pSTAT6,IFNa2,11.225419044494629,32.38457800883386
CD7+/HLA-DR-,pTBK1,IFNb,7.466603398323059,33.979454370172256
CD8+T cells,IkBa,LPS,5.225303053855896,8.351004776930198
Neutrophils,pSTAT1,IFNb,32.939764976501465,406.3875476740626
CD7+/HLA-DR-,IkBa,IFNa2,5.094258904457092,6.7334463803513716
Neutrophils,Ki67,IL-12,10.431981325149536,65.56940578793142
CD11b+/CD16-,pSTAT5,LPS,18.632502555847168,242.3114235310007
CD16+/CD11b+,pErk1/2,IL-6,82.19684982299805,2060.794564418002
CD1c+ B cells,pSTAT1,IFNb,27.767516613006592,NaN
CD16+/CD11b-,pCREB,IFNa2,40.00333309173584,376.3259916445674
CD8+T cells,pPLCg2,GM-CSF,5.62004554271698,10.51405319756936
CD1c+ B cells,pSTAT6,IL-4,73.60233116149902,NaN
