population,reagent,Condition,median,variance
CD4+T cells,pPLCg2,GM-CSF,5.32583212852478,9.511287584246045
CD7+/HLA-DR-,pSTAT6,IFNa2,6.5093629360198975,15.768893689619082
CD8+T cells,pMAPKAPK2,CD40L,5.597086191177368,7.6161210356284705
CD1c+ B cells,pZap70/Syk,Anthrax,6.7377846240997314,NaN
CD11b-/CD16-,pCREB,IL-4,36.93502330780029,324.4774496512987
Basophils,pSTAT6,Basal,6.674333572387695,26.410910602714083
Basophils,pSTAT6,LPS,6.317186713218689,22.526861318892884
CD16+/CD11b-,pSTAT3,Basal,64.15937042236328,4142.253848286614
pDCs,pSTAT5,IL-2,16.70521640777588,146.5534096079496
CD1c+ B cells,pSTAT6,Anthrax,10.52458143234253,NaN
Neutrophils,pPLCg2,TNFa,7.000655889511108,16.104636614559162
Basophils,pPLCg2,R848,6.973086595535278,11.228403240697704
pDCs,pCREB,IL-6,26.81992769241333,225.51473867867838
CD16+/CD11b+,pSTAT4,LPS,14.779712438583374,112.12265748016287
CD11b-/CD16-,Ki67,PMAIono,31.028708934783936,397.47953884404905
CD7+/HLA-DR-,pSTAT4,R848,6.131640195846558,11.960264297224448
CD4+/CD8+,pPLCg2,GM-CSF,9.14931035041809,NaN
CD1c+ B cells,pSTAT3,IL-6,60.50538158416748,NaN
B Cells,pSTAT4,IL-6,8.78266978263855,18.600050642498243
CD4+T cells,pSTAT1,IL-2,20.7651424407959,112.67044834500255
CD16+/CD11b+,pSTAT3,IFNg,118.32142448425293,7835.878461399481
CD16+/CD11b+,pS6,Anthrax,88.1212043762207,2772.099240132219
CD16+/CD11b+,p4E-BP1,IFNa2,28.655089855194092,100.92249165826644
CD4+T cells,pZap70/Syk,TNFa,4.672112345695496,1.8630087473213979
B Cells,pSTAT1,IFNa2,12.226331949234009,23.04818345843643
CD4+T cells,pZap70/Syk,GM-CSF,4.693683862686157,1.8030359737941413
B Cells,IkBa,IFNa2,5.235997796058655,8.675165808098209
CD16+/CD11b-,pPLCg2,Anthrax,15.795019388198853,105.9404441159523
CD1c+ B cells,pMAPKAPK2,CD40L,10.117831349372864,NaN
Neutrophils,pSTAT1,Basal,27.982407093048096,315.7365319701552
CD4+T cells,IkBa,Basal,6.65670120716095,12.474986276197328
Basophils,IkBa,Basal,6.172151565551758,8.015704124552215
CD4+T cells,pSTAT5,IFNg,12.905078411102295,57.186520527064516
pDCs,pCREB,Ebola VLPs,25.351388931274414,188.97858942190948
Neutrophils,pS6,IFNb,49.090322494506836,632.2103236231993
Neutrophils,pSTAT4,Anthrax,8.21303653717041,28.65511476801518
CD16+/CD11b+,pSTAT5,PMAIono,20.18137836456299,454.5787168638731
CD16+/CD11b-,pS6,R848,73.63672065734863,1445.4232404079828
CD16+/CD11b+,pSTAT4,Ebola VLPs,17.51973867416382,144.21619986270832
pDCs,pZap70/Syk,CD40L,4.8004990220069885,7.5128318398069105
CD16+/CD11b-,p4E-BP1,TNFa,21.291146755218506,74.4452500481195
CD11b+/CD16-,pPLCg2,IL-12,11.887798309326172,66.84209477315724
CD4+/CD8+,p4E-BP1,IL-12,10.396903038024902,NaN
CD1c+ B cells,pSTAT3,TNFa,58.189971923828125,NaN
CD4+/CD8+,pSTAT5,IFNa2,28.524558067321777,NaN
pDCs,pPLCg2,LPS,9.32266354560852,21.62951338075983
CD1c+ B cells,pZap70/Syk,PMAIono,6.55341649055481,NaN
Basophils,pErk1/2,IL-6,31.833099842071533,463.93523443669284
CD4+T cells,Ki67,TNFa,16.98925495147705,107.98313893552375
Basophils,pTBK1,IFNa2,11.444228410720825,78.46179093982524
Basophils,pP38,LPS,14.510199546813965,59.67586285971951
pDCs,IkBa,Anthrax,10.17747974395752,30.626020780738116
CD11b-/CD16-,pZap70/Syk,Basal,5.07762086391449,5.877348360789326
CD16+/CD11b-,pSTAT1,CD40L,56.721126556396484,1325.3835403273408
CD8+T cells,pS6,IL-6,45.07923984527588,442.57457395718905
CD11b-/CD16-,pErk1/2,PMAIono,62.695244789123535,2126.948657904321
CD4+/CD8+,pPLCg2,Basal,8.761582136154175,NaN
CD8+T cells,pSTAT3,PMAIono,50.31252098083496,2721.192523268944
CD8+T cells,pZap70/Syk,IL-2,4.486455321311951,1.6706716226117497
Basophils,p4E-BP1,GM-CSF,11.28660798072815,10.33300910665452
CD11b+/CD16-,pTBK1,CD40L,12.901853084564209,105.06210303621803
CD1c+ B cells,p4E-BP1,LPS,34.777992725372314,NaN
Neutrophils,pSTAT3,CD40L,57.84769916534424,4277.396362714928
CD11b-/CD16-,pS6,PMAIono,70.14437675476074,1285.757467755891
Neutrophils,pSTAT3,R848,60.1558723449707,4166.363208543268
CD11b+/CD16-,pSTAT1,TNFa,48.922301292419434,858.6116740225849
Basophils,pSTAT3,LPS,50.5648136138916,4404.402847091752
CD1c+ B cells,pCREB,R848,31.561718940734863,NaN
CD1c+ B cells,pP38,PMAIono,28.43720006942749,NaN
CD16+/CD11b+,pP38,IL-2,20.47185754776001,188.43308397803082
CD8+T cells,pSTAT4,IFNg,5.974362254142761,10.504107819701085
Neutrophils,pPLCg2,IL-2,6.9934645891189575,15.93275533402937
CD11b-/CD16-,pCREB,Basal,35.99613094329834,323.1812330233312
CD16+/CD11b-,pZap70/Syk,LPS,7.3075408935546875,12.76634892343633
CD4+/CD8+,pErk1/2,IFNb,48.83687496185303,NaN
CD16+/CD11b-,pErk1/2,IL-12,51.58205699920654,1056.0092426191422
Basophils,pSTAT6,IFNg,6.741759300231934,22.646005255950875
CD4+/CD8+,pP38,IL-12,20.834081649780273,NaN
CD16+/CD11b-,pMAPKAPK2,CD40L,12.737455368041992,21.114033414722
CD11b-/CD16-,pMAPKAPK2,R848,15.521434783935547,48.52176840067513
CD4+/CD8+,pSTAT4,Basal,7.752177715301514,NaN
CD4+T cells,pP38,TNFa,15.096852540969849,55.659586908238374
CD11b+/CD16-,Ki67,IL-2,29.302533626556396,323.49389325175486
Neutrophils,pSTAT5,Ebola VLPs,15.095715522766113,117.2939042277559
Basophils,pS6,IFNb,47.87444591522217,621.5168706559116
pDCs,pErk1/2,TNFa,38.09792613983154,648.0250091468835
Neutrophils,pSTAT5,PMAIono,15.876652956008911,151.73686030776403
CD4+T cells,pSTAT5,CD40L,12.554213762283325,62.954609417556384
CD1c+ B cells,pP38,Anthrax,29.634765625,NaN
CD16+/CD11b+,pP38,GM-CSF,23.476468086242676,205.7308447520232
CD16+/CD11b-,pErk1/2,Anthrax,82.74655151367188,1875.905953586749
CD11b-/CD16-,pZap70/Syk,CD40L,5.180692791938782,6.875311967987029
CD16+/CD11b+,pSTAT1,R848,54.97881889343262,1257.1597726806326
CD1c+ B cells,pP38,Basal,25.416473388671875,NaN
CD4+T cells,pSTAT6,CD40L,4.989859700202942,15.59279690715735
CD1c+ B cells,IkBa,IL-4,11.645392417907715,NaN
Neutrophils,pCREB,TNFa,26.425379753112793,135.97513670822786
pDCs,pSTAT3,Anthrax,72.2869987487793,3280.4918011564564
Basophils,pZap70/Syk,IFNb,2.8952118158340454,2.582986139570412
CD8+T cells,pMAPKAPK2,IL-4,5.657497763633728,7.7699859075893425
CD16+/CD11b-,Ki67,IFNb,19.348036766052246,201.0450198763732
CD1c+ B cells,pSTAT3,R848,60.86564064025879,NaN
Neutrophils,pTBK1,TNFa,8.38355827331543,44.87987230258571
Neutrophils,pSTAT4,IFNg,8.151155471801758,28.17628986260369
CD11b-/CD16-,pCREB,CD40L,36.22806358337402,338.67916791670996
CD11b+/CD16-,Ki67,PMAIono,25.951522827148438,285.0388688673794
Neutrophils,pSTAT4,IL-2,7.999279975891113,28.081044575441357
CD11b-/CD16-,pSTAT4,Anthrax,13.814757585525513,51.235656252126695
Basophils,pSTAT4,Basal,9.644570112228394,28.48946957976935
CD16+/CD11b-,pZap70/Syk,IL-4,6.780644774436951,9.371457764198544
CD8+T cells,pP38,IL-2,15.901946544647217,55.622904829275875
CD7+/HLA-DR-,pErk1/2,Ebola VLPs,23.0863299369812,233.09353593960014
Basophils,pS6,Ebola VLPs,46.06786346435547,551.6218914413357
CD8+T cells,pS6,TNFa,45.320738792419434,459.9434644448006
CD11b+/CD16-,pPLCg2,LPS,12.661409378051758,72.67027990183368
CD8+T cells,pSTAT1,CD40L,20.37726593017578,126.28466869396838
Basophils,IkBa,PMAIono,5.633528470993042,6.313576181468717
CD7+/HLA-DR-,pErk1/2,Basal,23.23286247253418,235.52970975433558
CD1c+ B cells,pTBK1,GM-CSF,15.804845333099365,NaN
CD16+/CD11b-,pSTAT4,Anthrax,13.358431577682495,61.04051406455475
pDCs,pSTAT4,LPS,9.443015575408936,37.14304091239653
CD7+/HLA-DR-,pS6,IL-2,43.010146141052246,622.2041935602236
CD16+/CD11b-,pTBK1,GM-CSF,13.960803747177124,109.16737373324742
pDCs,pTBK1,TNFa,13.351905107498169,114.35387117619346
pDCs,pP38,Basal,21.343748092651367,189.87972466066574
CD4+T cells,pErk1/2,R848,27.933835983276367,232.51501891846175
Neutrophils,Ki67,LPS,10.057517051696777,52.61032527011164
pDCs,pTBK1,IFNa2,10.526737928390503,86.38750778122325
CD4+T cells,pMAPKAPK2,IL-12,5.88482666015625,8.359844636095731
CD8+T cells,pZap70/Syk,IFNg,4.48636519908905,1.5246229401763163
Neutrophils,Ki67,IL-2,10.648419380187988,63.65122397593745
CD4+T cells,pMAPKAPK2,LPS,5.574365854263306,7.384446767750355
CD16+/CD11b+,pSTAT4,GM-CSF,18.031290531158447,144.08246856607016
CD11b+/CD16-,pP38,Basal,19.073701858520508,129.03342043866633
CD7+/HLA-DR-,Ki67,Basal,11.22288203239441,51.10918053106221
Neutrophils,pS6,IL-6,48.17328929901123,592.2556581100276
CD11b+/CD16-,pPLCg2,GM-CSF,12.270893812179565,58.71795818432849
CD4+T cells,pMAPKAPK2,PMAIono,6.898635625839233,11.55242289532521
Basophils,pCREB,CD40L,32.5472526550293,257.034136599896
CD16+/CD11b-,pTBK1,Ebola VLPs,14.520520687103271,116.35442689660864
Neutrophils,pMAPKAPK2,IL-6,7.103082180023193,13.004958955998765
Basophils,pSTAT3,Anthrax,59.15871810913086,5162.227986049301
CD16+/CD11b-,IkBa,IL-2,4.956127882003784,5.410642359065985
B Cells,pSTAT3,PMAIono,42.531320571899414,2817.159694624514
CD16+/CD11b+,pPLCg2,R848,17.272637367248535,166.30458201967272
CD7+/HLA-DR-,pTBK1,R848,7.470460414886475,34.95159097341574
CD16+/CD11b-,Ki67,IL-2,19.58950138092041,193.0754812759145
pDCs,IkBa,CD40L,9.776362895965576,30.2772286248709
CD7+/HLA-DR-,IkBa,GM-CSF,5.12810492515564,6.873593195053747
CD11b+/CD16-,pSTAT6,IL-4,111.05819702148438,1714.922822558757
CD16+/CD11b-,IkBa,TNFa,4.121556043624878,3.8785704521501745
B Cells,pTBK1,PMAIono,12.664926290512085,82.84704500797753
Basophils,pSTAT6,TNFa,6.428645968437195,26.341836203953168
CD8+T cells,pMAPKAPK2,LPS,5.386876225471497,7.3084396349182486
CD1c+ B cells,pMAPKAPK2,IFNb,9.149827003479004,NaN
CD4+T cells,Ki67,IL-2,16.603873252868652,106.66226674358498
CD1c+ B cells,pSTAT3,GM-CSF,65.94894790649414,NaN
CD11b-/CD16-,pErk1/2,IFNa2,41.09565734863281,960.3904566300172
CD11b-/CD16-,Ki67,TNFa,35.81752586364746,530.040388172981
CD4+T cells,pPLCg2,IL-12,5.755136489868164,11.882055947704416
Basophils,pPLCg2,CD40L,6.989479184150696,14.95321361777919
CD16+/CD11b-,pP38,TNFa,34.10875415802002,355.74212332821827
B Cells,pSTAT5,IL-4,15.912099599838257,81.80342902102653
CD16+/CD11b+,pErk1/2,IL-12,77.61579513549805,2313.0867185490024
Basophils,pSTAT4,Ebola VLPs,9.792930603027344,27.577644065021527
CD7+/HLA-DR-,pSTAT5,IFNa2,11.954943656921387,57.44114030746441
CD11b-/CD16-,pP38,CD40L,20.25693368911743,124.09096384752208
CD11b+/CD16-,pZap70/Syk,Basal,5.623661756515503,8.272897364149275
CD11b-/CD16-,pS6,IFNb,72.43309783935547,1340.9690673334696
CD1c+ B cells,pS6,R848,66.35410499572754,NaN
CD7+/HLA-DR-,pPLCg2,PMAIono,6.664095759391785,18.1425639357688
Neutrophils,pZap70/Syk,IFNg,8.221696138381958,6.081971959243445
CD1c+ B cells,pZap70/Syk,Basal,6.1898804903030396,NaN
Neutrophils,pCREB,IFNb,23.162363529205322,121.65849322196853
pDCs,pCREB,CD40L,24.871235370635986,212.49735050314308
CD16+/CD11b-,pTBK1,IFNa2,14.376288890838623,117.44922728603397
CD4+T cells,Ki67,IFNa2,16.956732273101807,106.3698040466938
Neutrophils,pSTAT1,TNFa,29.535286903381348,344.16268566295906
Basophils,pSTAT5,IFNa2,39.843735694885254,249.56762943170355
CD16+/CD11b+,pPLCg2,Basal,15.7412428855896,128.1788325418293
CD7+/HLA-DR-,pMAPKAPK2,LPS,5.043725490570068,8.044980524106663
Basophils,pZap70/Syk,Anthrax,3.2098464965820312,3.3372526861656002
Neutrophils,pTBK1,CD40L,4.533366441726685,12.05497492842368
pDCs,pErk1/2,IFNa2,32.6343560218811,431.29001711994744
CD11b-/CD16-,pSTAT5,IL-12,16.84432601928711,180.0648611099005
CD11b+/CD16-,pMAPKAPK2,R848,21.419724941253662,71.37804865658221
CD1c+ B cells,pSTAT4,IFNa2,9.618245124816895,NaN
B Cells,pSTAT1,IL-4,5.966278672218323,8.986417350059801
CD1c+ B cells,pPLCg2,IFNb,9.407255291938782,NaN
Basophils,pSTAT1,PMAIono,32.86910629272461,293.25737696559213
CD4+T cells,pSTAT3,IL-2,46.141451835632324,2372.3399611475775
CD8+T cells,pSTAT4,TNFa,5.896318435668945,11.105258993307652
CD1c+ B cells,pP38,R848,30.279465675354004,NaN
pDCs,pMAPKAPK2,Basal,10.374746561050415,23.65553198161863
CD11b+/CD16-,pS6,IL-6,76.68861770629883,1686.322857523704
Basophils,pSTAT5,Ebola VLPs,26.384790420532227,157.40059783815047
pDCs,Ki67,LPS,25.390762329101562,361.3533805976959
Basophils,pSTAT6,IL-2,6.6914918422698975,24.158532321820065
pDCs,pSTAT3,LPS,67.9874439239502,3236.9373906679357
CD4+T cells,pSTAT3,PMAIono,43.84981918334961,2662.442804621961
CD1c+ B cells,pSTAT3,IFNg,62.19136428833008,NaN
CD11b-/CD16-,pErk1/2,IL-2,39.62619972229004,615.5619415010123
Basophils,pSTAT3,IFNa2,52.5587215423584,4397.77596677428
CD16+/CD11b-,pMAPKAPK2,LPS,17.593149185180664,38.451277924823444
CD11b+/CD16-,pSTAT4,Basal,16.85589599609375,96.74471989499804
CD11b-/CD16-,pErk1/2,Basal,39.22090721130371,562.7563006660329
CD1c+ B cells,pMAPKAPK2,IFNa2,8.788566827774048,NaN
CD8+T cells,pPLCg2,Ebola VLPs,5.6930317878723145,10.542985247871119
CD4+/CD8+,pZap70/Syk,Basal,5.949287414550781,NaN
Basophils,pMAPKAPK2,Ebola VLPs,7.655673265457153,13.717475330141603
CD16+/CD11b+,pErk1/2,R848,106.21414184570312,2937.1256784457623
CD16+/CD11b+,pSTAT5,GM-CSF,118.74307823181152,1574.8832618862514
CD8+T cells,pCREB,IL-6,21.070276260375977,90.72690632745062
CD8+T cells,pTBK1,Anthrax,6.6151100397109985,27.253015968079286
CD16+/CD11b+,IkBa,IL-6,6.370988845825195,9.716840502074538
CD4+/CD8+,pSTAT1,PMAIono,40.58216094970703,NaN
Neutrophils,Ki67,Anthrax,10.18288779258728,58.26811190012528
CD16+/CD11b-,pCREB,Anthrax,49.98105716705322,610.184846364734
B Cells,pPLCg2,CD40L,7.811268925666809,14.285821036508588
CD16+/CD11b+,Ki67,Ebola VLPs,23.167625427246094,266.8303929591795
CD7+/HLA-DR-,p4E-BP1,R848,6.338223934173584,4.480692284834711
CD16+/CD11b+,pMAPKAPK2,Anthrax,18.420769214630127,59.991652664978716
B Cells,pP38,CD40L,28.032633781433105,157.09556672155279
CD11b-/CD16-,pSTAT6,LPS,8.147907018661499,41.33362325136922
CD11b-/CD16-,pPLCg2,Basal,9.461561441421509,27.27373597510617
CD16+/CD11b+,pS6,IL-2,82.3318920135498,2595.912240481851
CD4+T cells,pMAPKAPK2,GM-CSF,5.896892786026001,7.27336375346257
B Cells,pSTAT6,Ebola VLPs,7.368984699249268,23.001436821520088
CD4+/CD8+,pS6,IFNg,73.01433944702148,NaN
CD16+/CD11b+,IkBa,R848,5.437833309173584,6.1592777575210516
B Cells,pZap70/Syk,PMAIono,3.7826496362686157,3.5566639832358793
CD4+/CD8+,p4E-BP1,R848,9.908783435821533,NaN
Neutrophils,IkBa,CD40L,2.353260636329651,1.093094756725122
Neutrophils,pP38,Ebola VLPs,12.021896362304688,36.64237392060451
CD1c+ B cells,Ki67,GM-CSF,25.592719078063965,NaN
B Cells,pCREB,Ebola VLPs,19.313368320465088,81.94655191911406
CD1c+ B cells,p4E-BP1,IFNg,34.72739553451538,NaN
B Cells,p4E-BP1,IL-4,24.791186332702637,22.48231692211631
CD4+/CD8+,pP38,IL-6,19.811834812164307,NaN
Neutrophils,pS6,IL-2,50.183152198791504,713.0508256700894
CD11b-/CD16-,pTBK1,PMAIono,12.256006240844727,89.62831582869985
CD16+/CD11b-,pSTAT4,TNFa,13.099430561065674,63.725698407175386
CD8+T cells,pSTAT5,Basal,11.786463975906372,56.76012209547193
Neutrophils,pSTAT4,IFNa2,7.847791075706482,29.46970255292909
CD16+/CD11b-,pSTAT3,Anthrax,69.43932723999023,4733.474201356469
CD4+T cells,pSTAT1,PMAIono,22.88654375076294,155.93186867369397
CD16+/CD11b-,pErk1/2,IFNg,50.27267265319824,776.2879796150936
Basophils,pTBK1,IL-6,11.689162492752075,72.94934414061643
CD16+/CD11b+,pCREB,Basal,53.49785232543945,811.4305535615565
pDCs,pErk1/2,IFNg,35.17422103881836,440.2985974409406
B Cells,pP38,Ebola VLPs,17.448418617248535,82.64558356666835
pDCs,pP38,TNFa,36.17544174194336,466.2888444317163
CD1c+ B cells,pSTAT3,IL-12,64.34605598449707,NaN
CD7+/HLA-DR-,pS6,IFNg,40.917470932006836,528.6581788199887
CD7+/HLA-DR-,p4E-BP1,TNFa,6.3392205238342285,4.948747610006196
Neutrophils,pTBK1,LPS,6.896636605262756,36.240221565798606
B Cells,pSTAT4,IL-2,8.932475566864014,19.44459915273701
CD7+/HLA-DR-,pSTAT3,IFNb,63.60858917236328,3463.385516436993
Neutrophils,p4E-BP1,PMAIono,6.366320967674255,6.003791076863254
CD4+/CD8+,pZap70/Syk,IFNg,5.985081791877747,NaN
CD11b-/CD16-,pSTAT6,IL-6,8.808811664581299,40.59210466550074
CD7+/HLA-DR-,pSTAT3,IFNa2,59.617326736450195,3396.1771149966316
CD4+T cells,pPLCg2,IL-2,5.6140605211257935,10.738034130103074
CD16+/CD11b+,pSTAT6,IFNb,15.766226530075073,108.12922455547927
CD11b+/CD16-,pSTAT5,IFNa2,30.483598709106445,292.4416405231944
pDCs,pSTAT6,IL-2,8.229770183563232,41.619219796764646
CD8+T cells,pMAPKAPK2,PMAIono,6.58493959903717,11.551529987135547
CD11b-/CD16-,Ki67,Basal,36.69669437408447,503.68540284897625
B Cells,pCREB,Basal,19.31795883178711,81.34247988845352
CD16+/CD11b+,pSTAT1,TNFa,54.286312103271484,1181.213738839372
CD16+/CD11b-,pP38,Ebola VLPs,20.803924083709717,148.0201877832834
CD8+T cells,IkBa,R848,5.255359411239624,8.647153207450865
CD11b+/CD16-,pZap70/Syk,IFNa2,5.546005725860596,8.448428314717056
CD11b+/CD16-,pSTAT1,Anthrax,48.67807960510254,1028.5972942749431
CD4+/CD8+,pSTAT3,Ebola VLPs,84.52942848205566,NaN
CD4+/CD8+,pSTAT4,IL-2,8.852458000183105,NaN
Neutrophils,IkBa,TNFa,1.7983035147190094,1.299345555179271
CD4+/CD8+,pS6,IFNa2,75.01138687133789,NaN
Neutrophils,Ki67,PMAIono,9.612633228302002,56.54899876751016
CD11b+/CD16-,Ki67,LPS,26.287351608276367,271.538756364729
CD11b-/CD16-,p4E-BP1,PMAIono,34.13592720031738,178.05738968600886
CD16+/CD11b+,pSTAT3,Anthrax,121.93960189819336,9849.36583827631
CD16+/CD11b-,pZap70/Syk,IFNg,6.77894139289856,8.582678680835807
B Cells,pTBK1,IFNb,10.710238695144653,58.450580472496384
CD11b-/CD16-,pSTAT4,LPS,12.817448616027832,51.70414177286125
CD4+T cells,pPLCg2,Anthrax,5.737073063850403,10.798591374670117
CD16+/CD11b+,pPLCg2,Anthrax,16.863601207733154,176.25902563332892
CD4+T cells,pTBK1,Anthrax,7.27166748046875,34.55184750643438
CD7+/HLA-DR-,pZap70/Syk,Ebola VLPs,3.989750862121582,3.9657358431567573
Neutrophils,pSTAT4,TNFa,7.828201532363892,28.016347109368304
CD4+/CD8+,pP38,IL-4,20.89539623260498,NaN
CD11b+/CD16-,IkBa,IFNg,9.035835266113281,26.504148844753008
CD4+T cells,pTBK1,Ebola VLPs,7.225823402404785,31.408963122105256
CD4+T cells,pCREB,IL-6,18.520448684692383,78.73830492275889
CD16+/CD11b-,pCREB,IFNg,41.805487632751465,476.7034880189094
CD8+T cells,Ki67,Basal,13.571129322052002,74.81240426895721
Neutrophils,pSTAT3,PMAIono,65.50625228881836,4695.441364357052
B Cells,Ki67,GM-CSF,16.97955846786499,86.81303083165629
CD4+/CD8+,pErk1/2,IL-6,49.022183418273926,NaN
pDCs,pSTAT4,R848,9.91821002960205,40.32893442268007
CD16+/CD11b+,pSTAT4,IL-2,17.769654750823975,165.3730977282652
pDCs,pSTAT1,CD40L,16.745363235473633,1643.3354974906892
CD7+/HLA-DR-,pCREB,PMAIono,24.712532997131348,204.6789521525655
CD8+T cells,IkBa,IFNa2,5.237819314002991,8.417632719496583
Basophils,pErk1/2,Ebola VLPs,31.668782711029053,461.8126618724741
CD16+/CD11b+,pZap70/Syk,TNFa,6.9574689865112305,15.33223863611635
CD11b-/CD16-,pErk1/2,Ebola VLPs,40.002655029296875,806.6311590693645
Neutrophils,pSTAT5,IFNb,22.3577938079834,148.44911901443066
CD11b-/CD16-,pMAPKAPK2,CD40L,10.67476511001587,19.814914530000653
CD7+/HLA-DR-,pSTAT3,IFNg,59.827152252197266,3262.1798000997665
B Cells,pTBK1,IL-4,10.910053014755249,63.98620733755154
CD7+/HLA-DR-,pMAPKAPK2,IL-4,5.255873680114746,8.710609022392983
CD16+/CD11b-,pSTAT3,IL-12,66.4703483581543,5114.863971427811
CD16+/CD11b-,pP38,IFNb,19.5027813911438,149.65813909870843
CD16+/CD11b-,pMAPKAPK2,IFNa2,12.578505039215088,19.323353394270868
Basophils,Ki67,IL-12,17.553147792816162,99.21884903302063
CD7+/HLA-DR-,p4E-BP1,IFNg,6.251269459724426,4.087362407193021
Basophils,IkBa,LPS,4.880887508392334,5.549692486041207
CD11b-/CD16-,pSTAT5,IL-2,17.383955001831055,157.86279238834163
CD8+T cells,pSTAT5,IFNb,27.143466472625732,171.80400598173085
CD11b+/CD16-,Ki67,IL-4,27.686280727386475,283.8951323590662
CD7+/HLA-DR-,pZap70/Syk,CD40L,3.96702778339386,4.476341616561489
CD11b-/CD16-,Ki67,IFNb,33.36549377441406,440.3054567655287
Basophils,pCREB,IL-2,33.30229568481445,299.11697767441353
B Cells,pTBK1,LPS,11.014656066894531,64.76761664106257
CD11b-/CD16-,pSTAT3,IFNa2,65.3470630645752,3431.7913654554013
CD4+/CD8+,pMAPKAPK2,IFNg,8.828630685806274,NaN
CD11b+/CD16-,pZap70/Syk,PMAIono,5.255889296531677,8.49710040697781
CD1c+ B cells,pErk1/2,IL-4,33.51452922821045,NaN
CD11b-/CD16-,pSTAT5,IFNb,47.36872386932373,539.2566248093445
CD7+/HLA-DR-,pErk1/2,GM-CSF,23.46146821975708,241.62707389797578
CD4+/CD8+,pPLCg2,R848,10.003363132476807,NaN
CD1c+ B cells,pPLCg2,R848,9.45957326889038,NaN
CD11b-/CD16-,pPLCg2,IL-12,9.997797012329102,40.24502907154477
pDCs,pSTAT6,IFNg,9.018793821334839,42.02451507222078
CD11b-/CD16-,pSTAT1,IFNa2,52.587989807128906,718.92672212499
pDCs,p4E-BP1,IL-12,38.679893493652344,206.79183647541132
CD4+/CD8+,pZap70/Syk,LPS,6.102064251899719,NaN
Neutrophils,pZap70/Syk,Anthrax,8.283250570297241,6.583951147922219
CD7+/HLA-DR-,pP38,IL-4,11.906063079833984,47.93053161353067
CD16+/CD11b-,pErk1/2,Ebola VLPs,62.708845138549805,852.2416332597278
Basophils,pP38,GM-CSF,15.628687143325806,45.81122448080838
CD16+/CD11b+,pMAPKAPK2,Basal,15.597692012786865,40.30789849541394
Neutrophils,pP38,IL-4,12.66742753982544,41.93686037279503
Neutrophils,p4E-BP1,Basal,7.04261314868927,8.156917947250484
CD11b+/CD16-,pTBK1,IFNg,12.828171014785767,109.87090874390607
CD11b+/CD16-,pZap70/Syk,IFNb,5.34575891494751,8.922811871191298
CD1c+ B cells,p4E-BP1,R848,32.93751525878906,NaN
CD7+/HLA-DR-,pSTAT1,IFNg,5.716560363769531,12.493700358347565
pDCs,pS6,IFNb,67.8967456817627,1271.0743047974827
CD16+/CD11b-,IkBa,Ebola VLPs,4.790324568748474,4.596710953734802
CD11b-/CD16-,pZap70/Syk,Anthrax,5.351845860481262,6.529371936987352
CD11b+/CD16-,Ki67,Ebola VLPs,27.390649795532227,282.9169343939078
Neutrophils,pPLCg2,LPS,7.38631010055542,17.44963145085293
B Cells,pP38,IFNa2,18.083516120910645,87.89940511318305
B Cells,Ki67,IFNg,16.730501651763916,87.19721269507701
CD11b-/CD16-,pSTAT4,IFNa2,13.784104824066162,55.92957995511418
Neutrophils,pPLCg2,Anthrax,7.828380584716797,19.16282449492466
CD4+T cells,p4E-BP1,R848,9.418081998825073,6.42360182590919
CD1c+ B cells,pMAPKAPK2,IL-4,8.731703996658325,NaN
CD7+/HLA-DR-,pMAPKAPK2,GM-CSF,5.165278315544128,8.126256476520842
CD4+T cells,pSTAT1,R848,22.293580055236816,145.78769454127774
CD4+T cells,pCREB,PMAIono,25.740901947021484,200.92381631100622
CD7+/HLA-DR-,pSTAT3,LPS,59.05500602722168,3397.7734675663905
CD7+/HLA-DR-,Ki67,IFNb,11.559464931488037,51.88321228634773
CD16+/CD11b-,pS6,IFNa2,68.97350311279297,1134.6133292715936
CD16+/CD11b+,pS6,IL-12,86.06824493408203,2902.5318330524833
CD16+/CD11b+,pP38,Anthrax,25.609910011291504,292.280534798952
CD1c+ B cells,pPLCg2,IFNa2,9.690433144569397,NaN
B Cells,p4E-BP1,R848,25.251094341278076,25.289472498748946
Basophils,Ki67,IFNg,17.320608139038086,77.81151733879473
CD11b-/CD16-,pSTAT4,IL-6,13.57069730758667,53.66512653536922
CD16+/CD11b-,pSTAT6,Anthrax,8.411534786224365,38.51000507760169
CD16+/CD11b+,pErk1/2,Ebola VLPs,88.12618637084961,1932.0011321737534
Neutrophils,pErk1/2,Anthrax,98.2859878540039,2166.747477376425
CD7+/HLA-DR-,pSTAT1,PMAIono,6.4899221658706665,17.736192017474277
CD7+/HLA-DR-,pPLCg2,Basal,6.120958566665649,15.032662350577132
CD7+/HLA-DR-,pMAPKAPK2,Ebola VLPs,5.143546938896179,8.344169994524492
CD16+/CD11b-,pP38,IFNa2,19.404822826385498,137.93608222510352
CD4+/CD8+,IkBa,TNFa,4.335444331169128,NaN
Basophils,IkBa,IL-6,6.098906993865967,7.071776375833648
CD8+T cells,pZap70/Syk,PMAIono,4.421302795410156,1.6479866661125386
CD11b-/CD16-,pPLCg2,LPS,10.444739818572998,41.14060746274607
CD4+/CD8+,pSTAT3,CD40L,93.03207778930664,62417.955039700086
