population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std,optimization_type
CD16+/CD11b-,pTBK1,R848,266.26,12918.907,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,165.063,response
CD16+/CD11b-,pTBK1,LPS,149.085,16317.819,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,160.507,response
CD16+/CD11b-,pSTAT5,GM-CSF,65.94,200.341,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,31.611,response
CD16+/CD11b-,pErk1/2,GM-CSF,55.013,238.407,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,44.616,response
CD16+/CD11b-,pSTAT6,IL-4,53.807,323.827,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,31.302,response
CD16+/CD11b-,pSTAT1,IFNb,30.211,147.035,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,41.395,response
CD16+/CD11b-,pErk1/2,R848,29.845,183.114,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,40.556,response
CD16+/CD11b-,pErk1/2,PMAIono,28.856,248.674,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,42.667,response
CD16+/CD11b-,pSTAT1,IFNg,26.308,198.827,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,39.617,response
CD16+/CD11b-,pSTAT1,IFNa2,25.329,143.805,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,39.892,response
