population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std,optimization_type,population_var,reagent_var,Condition_var,median_var,variance_var,uniquePopulationName_var,parentPopulation_var,channel_var,Species_var,statistic_var,uniquePopulationName_right_var,parentPopulation_right_var,channel_right_var,Species_right_var,statistic_right_var,std_var,optimization_type_var,population_corr,reagent_corr,Condition_corr,median_corr,variance_corr,uniquePopulationName_corr,parentPopulation_corr,channel_corr,Species_corr,statistic_corr,uniquePopulationName_right_corr,parentPopulation_right_corr,channel_right_corr,Species_right_corr,statistic_right_corr,std_corr,optimization_type_corr,combined_score
CD16+/CD11b-,pSTAT6,IL-4,53.807,323.827,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,31.302,combined,CD16+/CD11b-,pSTAT6,IL-4,53.807,323.827,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,31.302,variance,CD16+/CD11b-,pSTAT6,IL-4,53.807,323.827,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,31.302,correlation,215.721
CD16+/CD11b-,pErk1/2,GM-CSF,55.013,238.407,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,44.616,combined,CD16+/CD11b-,pErk1/2,GM-CSF,55.013,238.407,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,44.616,variance,,,,,,,,,,,,,,,,,,174.217
CD16+/CD11b-,pSTAT5,GM-CSF,65.94,200.341,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,31.611,combined,CD16+/CD11b-,pSTAT5,GM-CSF,65.94,200.341,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,31.611,variance,CD16+/CD11b-,pSTAT5,GM-CSF,65.94,200.341,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,31.611,correlation,166.11
CD16+/CD11b-,pErk1/2,PMAIono,28.856,248.674,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,42.667,combined,CD16+/CD11b-,pErk1/2,PMAIono,28.856,248.674,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,42.667,variance,CD16+/CD11b-,pErk1/2,PMAIono,28.856,248.674,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,42.667,correlation,153.193
CD16+/CD11b-,pSTAT1,IFNg,26.308,198.827,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,39.617,combined,CD16+/CD11b-,pSTAT1,IFNg,26.308,198.827,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,39.617,variance,CD16+/CD11b-,pSTAT1,IFNg,26.308,198.827,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,39.617,correlation,125.722
CD16+/CD11b-,pErk1/2,R848,29.845,183.114,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,40.556,combined,CD16+/CD11b-,pErk1/2,R848,29.845,183.114,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,40.556,variance,CD16+/CD11b-,pErk1/2,R848,29.845,183.114,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,40.556,correlation,121.402
CD16+/CD11b-,pSTAT1,IFNb,30.211,147.035,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,41.395,combined,,,,,,,,,,,,,,,,,,CD16+/CD11b-,pSTAT1,IFNb,30.211,147.035,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,41.395,correlation,103.729
CD16+/CD11b-,pSTAT1,IFNa2,25.329,143.805,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,39.892,combined,,,,,,,,,,,,,,,,,,CD16+/CD11b-,pSTAT1,IFNa2,25.329,143.805,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,39.892,correlation,97.232
CD16+/CD11b+,pTBK1,LPS,212.885,30637.762,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,211.391,combined,CD16+/CD11b+,pTBK1,LPS,212.885,30637.762,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,211.391,variance,CD16+/CD11b+,pTBK1,LPS,212.885,30637.762,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,211.391,correlation,15531.766
CD16+/CD11b+,pTBK1,R848,304.695,23469.438,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,208.756,combined,CD16+/CD11b+,pTBK1,R848,304.695,23469.438,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,208.756,variance,CD16+/CD11b+,pTBK1,R848,304.695,23469.438,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,208.756,correlation,12039.414
